Last CY/CFS,Final Destination,Drayage Lane,Zip Code,Rate,Fuel Surcharge %,Fuel Surcharge,Total Rate,Toll Fee,Pre-pull Fee,Pier Pass Fee,Clean Truck Fee,Drop Fee,Chassis Fee,Min Chassis Days,Chassis Days Included,Storage Fee (/Day),Date Received,Notes
"Los Angeles, CA","Simi Valley, CA","Los Angeles, CA - Simi Valley, CA",91302,388,0.34,131.92,,,,,,,,,0,50,,
"New York, NY","Northampton, PA","New York, NY - Northampton, PA",18067,800,,,,,,,,,,,0,50,,
