Internal ID,OFQID,Port of Loading,Final Destination,Cargo Ready Date,Incoterm,PO(s),Container Type,# of Containers,Rate/Unit,Date Received,Forwarder,Port of Discharge,Last CY/CFS,Vessel ETD,Vessel ETA,Last CY/CFS ETA,# of Free Days,Carrier,Shipping Mode,OFRID,Forwarder/Carrier,Rate/Unit,Port of Loading,Port of Discharge,Last CY/CFS,Valid Until,Carrier
1783,OFQ1783,"Pipavav, India","Stockton, CA",8/30/2026,DDP,PO156380,40' HC,1,,,,,,,,,,,,OFR6953,Constellation Logistics LLC,2139,"Pipavav, India","Oakland, CA","Oakland, CA",9/30/2026,ONE
1783,OFQ1783,"Pipavav, India","Stockton, CA",8/30/2026,DDP,PO156380,40' HC,1,,,,,,,,,,,,OFR6955,Constellation Logistics LLC,2086,"Pipavav, India","Oakland, CA","Oakland, CA",9/30/2026,MSC
1769,OFQ1769,"Nhava Sheva, India","Commerce, CA",7/30/2026,DDP,PO156391,40' HC,1,,,,,,,,,,,,OFR6930,Harbour Shipping LLP,7100,"Nhava Sheva, India","Los Angeles, CA","Los Angeles, CA",7/31/2026,HMM
1769,OFQ1769,"Nhava Sheva, India","Commerce, CA",7/30/2026,DDP,PO156391,40' HC,1,,,,,,,,,,,,OFR6929,Soma Universal Logistics PVT LTD,7350,"Nhava Sheva, India","Los Angeles, CA","Los Angeles, CA",7/31/2026,HPL
1769,OFQ1769,"Nhava Sheva, India","Commerce, CA",7/30/2026,DDP,PO156391,40' HC,1,,,,,,,,,,,,OFR6937,Oec Shipping Los Angeles Inc,6900,"Nhava Sheva, India","Los Angeles, CA","Los Angeles, CA",7/31/2026,CMA
1769,OFQ1769,"Nhava Sheva, India","Commerce, CA",7/30/2026,DDP,PO156391,40' HC,1,,,,,,,,,,,,OFR6947,Constellation Logistics LLC,2679,"Nhava Sheva, India","Los Angeles, CA","Los Angeles, CA",9/30/2026,ONE
1769,OFQ1769,"Nhava Sheva, India","Commerce, CA",7/30/2026,DDP,PO156391,40' HC,1,,,,,,,,,,,,OFR6943,Topocean Consolidation Service (Los Angeles),6825,"Nhava Sheva, India","Los Angeles, CA","Los Angeles, CA",7/31/2026,MSC
1769,OFQ1769,"Nhava Sheva, India","Commerce, CA",7/30/2026,DDP,PO156391,40' HC,1,,,,,,,,,,,,OFR6950,Constellation Logistics LLC,3570,"Nhava Sheva, India","Los Angeles, CA","Los Angeles, CA",9/30/2026,HMM
1769,OFQ1769,"Nhava Sheva, India","Commerce, CA",7/30/2026,DDP,PO156391,40' HC,1,,,,,,,,,,,,OFR6948,Constellation Logistics LLC,3125,"Nhava Sheva, India","Los Angeles, CA","Los Angeles, CA",6/30/2027,HPL
1769,OFQ1769,"Nhava Sheva, India","Commerce, CA",7/30/2026,DDP,PO156391,40' HC,1,,,,,,,,,,,,OFR6946,Constellation Logistics LLC,2939,"Nhava Sheva, India","Los Angeles, CA","Los Angeles, CA",9/30/2026,CMA
1769,OFQ1769,"Nhava Sheva, India","Commerce, CA",7/30/2026,DDP,PO156391,40' HC,1,,,,,,,,,,,,OFR6949,Constellation Logistics LLC,2086,"Nhava Sheva, India","Los Angeles, CA","Los Angeles, CA",9/30/2026,ONE
1784,OFQ1784,"Pipavav, India","Ontario, CA",8/30/2026,DDP,PO156411,40' HC,1,,,,,,,,,,,,OFR6957,Constellation Logistics LLC,3549,"Pipavav, India","Los Angeles, CA","Los Angeles, CA",9/30/2026,MSC
1784,OFQ1784,"Pipavav, India","Ontario, CA",8/30/2026,DDP,PO156411,40' HC,1,,,,,,,,,,,,OFR6944,Topocean Consolidation Service (Los Angeles),6825,"Pipavav, India","Los Angeles, CA","Los Angeles, CA",7/31/2026,HMM
1784,OFQ1784,"Pipavav, India","Ontario, CA",8/30/2026,DDP,PO156411,40' HC,1,,,,,,,,,,,,OFR6958,Constellation Logistics LLC,2086,"Pipavav, India","Los Angeles, CA","Los Angeles, CA",9/30/2026,HPL
1784,OFQ1784,"Pipavav, India","Ontario, CA",8/30/2026,DDP,PO156411,40' HC,1,,,,,,,,,,,,OFR6956,Constellation Logistics LLC,2139,"Pipavav, India","Los Angeles, CA","Los Angeles, CA",9/30/2026,CMA
1786,OFQ1786,"Nhava Sheva, India","Baltimore, MD",7/16/2026,DDP,PO156419,20',1,,,,,,,,,,,,OFR6962,Constellation Logistics LLC,4058,"Nhava Sheva, India","New York, NY","Baltimore, MD",9/30/2026,ONE
1786,OFQ1786,"Nhava Sheva, India","Baltimore, MD",7/16/2026,DDP,PO156419,20',1,,,,,,,,,,,,OFR6945,Tanera Transport,6210,"Nhava Sheva, India","Baltimore, MD","Baltimore, MD",7/31/2026,MSC
1786,OFQ1786,"Nhava Sheva, India","Baltimore, MD",7/16/2026,DDP,PO156419,20',1,,,,,,,,,,,,OFR6963,Constellation Logistics LLC,4513,"Nhava Sheva, India","Norfolk, VA","Baltimore, MD",9/30/2026,HMM
